/////////////////////////////////////////////////////
		Shivan Ships
/////////////////////////////////////////////////////--add stalker & streaker
Sathanas:	Multi-purpose Juggernaught
	turret 05:MRed
	turret 06:MRed
	turret 17:MRed
	turret 18:Mred
	--------------
	turret 28:SAAA
	turret 29:MRed
	turret 30:SAAA
	turret 31:MRed
	turret 32:SAAA
	turret 33:MRed
	turret 34:SAAA
	turret 35:MRed

	turret 39:SAAA
	turret 40:MRed
	turret 41:SAAA
	turret 42:MRed
	turret 43:SAAA
	turret 44:MRed
	turret 45:SAAA
	turret 46:MRed
	--------------
	turret 21:MRedUp
	turret 26:MRedUp

	turret 52:MRedUp
	turret 53:MRedUp
	--------------
	turret 07:Fast Flak
	turret 08:Fast Flak
	turret 10:Fast Flak

	turret 22:Fast Flak
	turret 23:Fast Flak
	turret 25:Fast Flak
	--------------
	turret 36:Long Range Flak
	turret 37:Long Range Flak

	turret 47:Long Range Flak
	turret 48:Long Range Flak
	--------------
	turret 09:SAAA
	turret 11:SAAA
	turret 12:SAAA

	turret 38:SAAA
	turret 15:SAAA
	turret 16:SAAA
	--------------
	turret 13:Long Range Flak
	turret 24:Long Range Flak
	--------------
	turret 14:Fast Flak
	turret 27:Fast Flak
	--------------
	turret 50:Suppression Flak
	turret 51:Suppression Flak


Lucifer:	Planetary Bombardment Super Destroyer
	turret armor: Shivan Elite Armor
	turret 01:LRLRed
	turret 02:LRLRed
	turret 03:Advanced Flak
	turret 04:Advanced Flak
	turret 05:Shivan LR Swarm
	turret 06:Advanced Flak
	turret 07:Advanced Flak
	turret 08:Shivan LR Swarm
	turret 09:Suppression Flak
	turret 10:Shivan Turret Laser Up
	turret 11:Shivan Turret Laser Up
	turret 12:Shivan Turret Laser Up
	turret 13:Shivan Turret Laser Up
	turret 14:Shivan Turret Laser Up
	turret 15:Suppression Flak
	turret 16:Shivan Turret Laser Up
	turret 17:Shivan Turret Laser Up
	turret 18:MRedUp
	turret 19:MRedUp


Ravana :	Battle Destroyer
	hull:  200k
	armor: Shivan Elite Armor (on turrets as well)
	turret 01:LRed - Hell Armor
	turret 02:LRed - Hell Armor
	turret 03:MRedUp - Hell Armor
	turret 04:MRedUp - Hell Armor
	turret 05:SAAA
	turret 06:SAAA
	turret 07:Fast Flak
	turret 08:SAAA
	turret 09:SAAA
	turret 10:SAAA
	turret 11:SAAA
	turret 12:Fast Flak
	turret 13:SAAA
	turret 14:Fast Flak
	turret 15:MRed
	turret 16:Fast Flak
	turret 17:Fast Flak
	turret 18:Fast Flak
	turret 19:Pirahna#Shivan
	turret 20:Fast Flak
	turret 21:Fast Flak
	turret 22:Fast Flak
	turret 23:Fast Flak
	turret 24:SAAA
	turret 25:MRed
	turret 26:Pirahna#Shivan
	turret 27:MRed
	turret 28:MRed
	turret 29:SAAA
	turret 30:Fast Flak


Ravana :	Hunter Killer Destroyer (Standard)
	turret 01:LRed
	turret 02:LRed
	turret 03:MRed
	turret 04:MRed
	turret 06:Standard Flak
	turret 13:Standard Flak
	turret 18:Standard Flak
	turret 19:Pirahna#Shivan
	turret 24:Standard Flak
	turret 25:Heavy Flak
	turret 26:Pirahna#Shivan
	turret 27:Shivan Large Canon/SRed
	turret 29:Shivan Large Canon/SRed
	turret 30:Heavy Flak


Ravana :	Long Range Hunter Killer Destroyer (Vampire)
	armor: Shivan Elite Armor
	turret 01:LRLred
	turret 02:LRLRed
	turret 03:MRedUp
	turret 04:MRedUp
	turret 05:SRed
	turret 06:SAAA
	turret 13:SAAA
	turret 18:Standard Flak
	turret 19:Pirahna#Shivan
	turret 24:Standard Flak
	turret 25:Standard Flak
	turret 26:Pirahna#Shivan
	turret 27:SRed
	turret 29:SRed
	turret 30:Standard Flak


Demon:		Command Destroyer (Susl'Arh Morc)
	armor: Shivan Elite Armor
	turret 03:MRedUp
	turret 06:MRed
	turret 07:MRed
	turret 08:Fast Flak
	turret 09:Fast Flak
	turret 10:Fast Flak
	turret 11:Fast Flak
	turret 12:Fast Flak
	turret 13:Fast Flak
	turret 14:Fast Flak
	turret 15:Fast Flak
	turret 16:SAAA
	turret 17:SAAA
	turret 18:SAAA
	turret 19:SAAA
	turret 20:Fast Flak
	turret 21:Fast Flak
	turret 22:Shivan Advanced Swarmer Bomb
	turret 23:Shivan Advanced Swarmer Bomb
	turret 24:Shivan Advanced Swarmer Bomb
	turret 25:Shivan Advanced Swarmer Bomb
	turret 26:Shivan Advanced Swarmer Bomb


Demon:		Support Destroyer (SSM Launcher)
	turret 03:MRed/MRedUp
	turret 06:Shivan Heavy Anticap Laser/Shivan Large Canon
	turret 07:Shivan Heavy Anticap Laser/Shivan Large Canon
	turret 16:Shivan Multi Turret
	turret 17:Shivan Multi Turret
	turret 18:Shivan Multi Turret
	turret 19:Shivan Multi Turret
	turret 20:Standard Flak
	turret 21:Standard Flak
	turret 22:Shivan SSM
	turret 23:Shivan SSM
	turret 24:Shivan SSM
	turret 25:Shivan SSM
	turret 26:Shivan SSM


Demon:		Combat Destroyer
